,state_po,county,cor_pred,Repnum_x,Demnum_x,Repnum_y,Demnum_y
533,OH,Preble,3,3,0,3,0
534,MS,Neshoba,3,3,0,3,0
535,OH,Portage,3,1,2,1,2
536,OH,Pike,3,3,0,3,0
537,MS,Newton,3,3,0,3,0
538,OH,Wyandot,3,3,0,3,0
539,OK,Adair,3,3,0,3,0
540,OK,Alfalfa,3,3,0,3,0
541,MS,George,3,3,0,3,0
542,MS,DeSoto,3,3,0,3,0
543,OK,Garfield,3,3,0,3,0
544,OK,Ellis,3,3,0,3,0
545,OK,Dewey,3,3,0,3,0
546,OK,Delaware,3,3,0,3,0
547,OK,Custer,3,3,0,3,0
548,OK,Creek,3,3,0,3,0
549,MS,Forrest,3,3,0,3,0
550,OK,Craig,3,3,0,3,0
551,OK,Cotton,3,3,0,3,0
552,OK,Comanche,3,3,0,3,0
553,MS,Franklin,3,3,0,3,0
554,OK,Coal,3,3,0,3,0
555,OK,Cleveland,3,3,0,3,0
556,OK,Cimarron,3,3,0,3,0
557,OK,Atoka,3,3,0,3,0
558,MS,Greene,3,3,0,3,0
559,MS,Grenada,3,3,0,3,0
560,OK,Carter,3,3,0,3,0
561,MS,Hancock,3,3,0,3,0
562,MS,Harrison,3,3,0,3,0
563,MS,Itawamba,3,3,0,3,0
564,OK,Canadian,3,3,0,3,0
565,MS,Jackson,3,3,0,3,0
566,OK,Caddo,3,3,0,3,0
567,OK,Bryan,3,3,0,3,0
568,OK,Blaine,3,3,0,3,0
569,OK,Beckham,3,3,0,3,0
570,OK,Beaver,3,3,0,3,0
571,MS,Jasper,3,1,2,1,2
572,MT,Custer,3,3,0,3,0
573,MT,Granite,3,3,0,3,0
574,NY,Cayuga,3,1,2,1,2
575,ND,Grant,3,3,0,3,0
576,MT,Sheridan,3,3,0,3,0
577,MT,Sanders,3,3,0,3,0
578,ND,Emmons,3,3,0,3,0
579,ND,Foster,3,3,0,3,0
580,ND,Golden Valley,3,3,0,3,0
581,MT,Roosevelt,3,1,2,1,2
582,ND,Griggs,3,3,0,3,0
583,ND,Dunn,3,3,0,3,0
584,ND,Hettinger,3,3,0,3,0
585,ND,Kidder,3,3,0,3,0
586,ND,LaMoure,3,3,0,3,0
587,ND,Logan,3,3,0,3,0
588,ND,McHenry,3,3,0,3,0
589,ND,McIntosh,3,3,0,3,0
590,MT,Stillwater,3,3,0,3,0
591,ND,Divide,3,3,0,3,0
592,NY,Cattaraugus,3,3,0,3,0
593,ND,Bowman,3,3,0,3,0
594,MT,Yellowstone,3,3,0,3,0
595,MT,Wibaux,3,3,0,3,0
596,MT,Wheatland,3,3,0,3,0
597,ND,Billings,3,3,0,3,0
598,ND,Bottineau,3,3,0,3,0
599,MT,Valley,3,3,0,3,0
600,ND,Burke,3,3,0,3,0
601,ND,Dickey,3,3,0,3,0
602,MT,Treasure,3,3,0,3,0
603,ND,Burleigh,3,3,0,3,0
604,MT,Toole,3,3,0,3,0
605,MT,Teton,3,3,0,3,0
606,ND,Cavalier,3,3,0,3,0
607,MT,Sweet Grass,3,3,0,3,0
608,ND,McKenzie,3,3,0,3,0
609,ND,McLean,3,3,0,3,0
610,ND,Mercer,3,3,0,3,0
611,NE,Arthur,3,3,0,3,0
612,ND,Walsh,3,3,0,3,0
613,ND,Ward,3,3,0,3,0
614,ND,Wells,3,3,0,3,0
615,ND,Williams,3,3,0,3,0
616,NE,Adams,3,3,0,3,0
617,NE,Antelope,3,3,0,3,0
618,NE,Banner,3,3,0,3,0
619,ND,Morton,3,3,0,3,0
620,NE,Blaine,3,3,0,3,0
621,NE,Boone,3,3,0,3,0
622,NE,Box Butte,3,3,0,3,0
623,NE,Boyd,3,3,0,3,0
624,NE,Brown,3,3,0,3,0
625,NE,Buffalo,3,3,0,3,0
626,MT,Phillips,3,3,0,3,0
627,MT,Pondera,3,3,0,3,0
